Sample Name,Drug,Growthrate
R5321,CAZ,0.00714
R5321,CAZ,0.00711
R5321,CAZ,0.00739
R5321,CAZ,0.00761
R5321,CAZ,0.00718
R5321,CRO,0.00832
R5321,CRO,0.00873
R5321,CRO,0.00895
R5321,CRO,0.00886
R5321,CRO,0.00902
R5321,CRO,0.00895
R5321,FEP,0.01069
R5321,FEP,0.01173
R5321,FEP,0.00934
R5321,FEP,0.00923
R5321,FEP,0.01013
R5321,FEP,0.00605
R5321,Control,0.01001
R5321,Control,0.01021
R5321,Control,0.01033
R5321,Control,0.0106
R5321,Control,0.01046
R5321,Control,0.00971
R4834,CAZ,0.00829
R4834,CAZ,0.00843
R4834,CAZ,0.00831
R4834,CAZ,0.00832
R4834,CAZ,0.00811
R4834,CAZ,0.00801
R4834,CRO,0.00872
R4834,CRO,0.00855
R4834,CRO,0.00941
R4834,CRO,0.00924
R4834,CRO,0.00886
R4834,CRO,0.00842
R4834,FEP,0.00732
R4834,FEP,0.00541
R4834,FEP,0.00731
R4834,FEP,0.00702
R4834,FEP,0.0079
R4834,FEP,0.00766
R4834,Control,0.00911
R4834,Control,0.0093
R4834,Control,0.00898
R4834,Control,0.00919
R4834,Control,0.00921
R4834,Control,0.0089
R4798,CAZ,0.00826
R4798,CAZ,0.00839
R4798,CAZ,0.00908
R4798,CAZ,0.00893
R4798,CAZ,0.00849
R4798,CAZ,0.00856
R4798,CRO,0.00948
R4798,CRO,0.00972
R4798,CRO,0.00879
R4798,CRO,0.00977
R4798,CRO,0.00978
R4798,CRO,0.00916
R4798,FEP,0.00713
R4798,FEP,0.00695
R4798,FEP,0.00721
R4798,FEP,0.00739
R4798,FEP,0.00692
R4798,FEP,0.00745
R4798,Control,0.0093
R4798,Control,0.00975
R4798,Control,0.00966
R4798,Control,0.00909
R4798,Control,0.00947
R4798,Control,0.00839
R4795,CAZ,0.00876
R4795,CAZ,0.00831
R4795,CAZ,0.00883
R4795,CAZ,0.00854
R4795,CAZ,0.00838
R4795,CAZ,0.00824
R4795,CRO,0.00797
R4795,CRO,0.00813
R4795,CRO,0.00759
R4795,CRO,0.00804
R4795,CRO,0.00815
R4795,CRO,0.00811
R4795,FEP,0.00683
R4795,FEP,0.00663
R4795,FEP,0.00666
R4795,FEP,0.00639
R4795,FEP,0.00659
R4795,FEP,0.00694
R4795,Control,0.00873
R4795,Control,0.00848
R4795,Control,0.00807
R4795,Control,0.00791
R4795,Control,0.00825
R4795,Control,0.00833
R4551,CAZ,0.00664
R4551,CAZ,0.00731
R4551,CAZ,0.00699
R4551,CAZ,0.00689
R4551,CAZ,0.00658
R4551,CAZ,0.00758
R4551,CRO,0.0083
R4551,CRO,0.00868
R4551,CRO,0.0081
R4551,CRO,0.00853
R4551,CRO,0.00855
R4551,CRO,0.00865
R4551,FEP,0.00715
R4551,FEP,0.00839
R4551,FEP,0.00842
R4551,FEP,0.00539
R4551,FEP,0.00792
R4551,FEP,0.00624
R4551,Control,0.00817
R4551,Control,0.00806
R4551,Control,0.00801
R4551,Control,0.00798
R4551,Control,0.00823
R4551,Control,0.00747
